Concurso,Data Sorteio,1º Prêmio,2º Prêmio,3º Prêmio,4º Prêmio,5º Prêmio
00349,02/04/1966,37278,22123,29548,29403,00479
00350,06/04/1966,02639,11886,00414,36639,06969
00351,09/04/1966,28316,01583,18407,19917,31007
00352,13/04/1966,04751,24197,11816,06869,16040
00353,16/04/1966,23753,07862,01749,19945,33203
00354,20/04/1966,10061,23400,07291,36511,27611
00355,23/04/1966,19824,32296,13686,25618,11622
00356,27/04/1966,20112,17912,03777,27803,33981
00357,30/04/1966,27984,03218,05365,11733,17361
00358,04/05/1966,07403,01172,16655,04953,01013
00359,07/05/1966,35352,31816,08656,11011,25946
00360,11/05/1966,13389,18765,03929,12416,21154
00361,14/05/1966,35282,02009,17767,02895,17676
00362,18/05/1966,29624,16421,10769,03336,05982
00363,21/05/1966,28040,16168,00092,22742,28613
00364,25/05/1966,02615,25733,11028,04438,39153
00365,28/05/1966,05769,25759,34358,28753,13235
00366,01/06/1966,24333,30623,19698,04342,36873
00367,04/06/1966,23114,37481,29219,00561,38581
00368,08/06/1966,19946,05630,19211,20554,11149
00369,11/06/1966,12309,18590,19937,37181,19946
00370,15/06/1966,30798,22853,13768,14707,14792
00371,18/06/1966,15288,29007,00487,31518,15629
00372,22/06/1966,14317,16079,08333,19917,20523
00373,25/06/1966,18392,32781,29772,24462,20615
00374,29/06/1966,12034,06947,05188,14717,00124
00375,02/07/1966,04366,24236,19190,06717,15767
00376,06/07/1966,09374,30454,27113,23298,28765
00377,07/07/1966,32702,42168,42060,35957,00000
00378,13/07/1966,36737,38616,33607,35831,18771
00379,16/07/1966,27838,17381,13458,32672,10021
00380,20/07/1966,00200,28646,39065,23692,12383
00381,23/07/1966,06661,22912,23536,16344,18324
00382,01/08/1966,00000,00000,00000,00000,00000
00383,02/08/1966,00000,00000,00000,00000,00000
00384,03/08/1966,14029,23548,38342,35779,28120
00385,06/08/1966,30811,19575,36953,31922,18298
00386,10/08/1966,11335,27069,33660,09704,17174
00387,13/08/1966,07392,12536,17484,01259,37389
00388,17/08/1966,27860,35082,37184,04702,13207
00389,20/08/1966,36760,18723,01408,06415,01423
00390,24/08/1966,04872,01120,22051,36503,01057
00391,27/08/1966,22972,35221,24468,11427,21091
00392,31/08/1966,23665,36734,38185,36949,22093
00393,03/09/1966,01282,14684,07058,11705,01319
00394,10/09/1966,15241,02852,10218,13597,12007
00395,14/09/1966,26077,14066,10851,01223,28335
00396,17/09/1966,02350,25040,25579,00058,01726
00397,21/09/1966,13319,37255,16982,05423,27503
00398,24/09/1966,00594,24740,19993,18213,12240
00399,28/09/1966,00457,30091,22959,01236,14260
00400,01/10/1966,00761,00926,12985,31195,07779
00401,05/10/1966,15018,35974,03702,38839,08988
00402,08/10/1966,31763,09461,01424,06027,30000
00403,12/10/1966,20431,38146,00292,20115,09846
00404,15/10/1966,17625,34579,13063,15644,27005
00405,19/10/1966,27533,20904,27874,29388,30496
00406,22/10/1966,29951,15075,07654,24311,02832
00407,26/10/1966,13038,11154,08904,00103,36963
00408,29/10/1966,14922,26928,21825,00890,29353
00409,05/11/1966,03479,39193,15882,10133,15142
00410,09/11/1966,00438,00678,30085,14257,22928
00411,12/11/1966,36238,07918,16810,09143,31484
00412,16/11/1966,27412,29504,37306,27277,18855
00413,19/11/1966,29554,13159,30079,21925,07331
00414,23/11/1966,20697,31571,09240,22833,03523
00415,26/11/1966,36226,33874,13230,33679,29515
00416,30/11/1966,09561,14181,21697,05519,16508
00417,03/12/1966,25755,37457,16822,21142,23179
00418,07/12/1966,15007,19563,01476,25362,21021
00419,10/12/1966,21754,31221,20356,35467,11474
00420,14/12/1966,15752,08530,25937,20049,18807
00421,17/12/1966,35328,38243,23501,32070,19069
00422,21/12/1966,21458,03504,35206,38124,03275
00423,24/12/1966,20051,34282,06330,10135,32497
00424,28/12/1966,39539,38134,08433,38342,37735
00425,31/12/1966,13275,23618,19841,19189,12965
00426,04/01/1967,39503,28068,01441,09293,20194
00427,07/01/1967,25573,22409,12347,01172,06554
00428,11/01/1967,05411,21232,02825,36722,19711
00429,14/01/1967,15530,04125,09910,25116,12646
00430,18/01/1967,13988,35122,25999,05120,37413
00431,21/01/1967,37193,10953,07561,23192,05671
00432,25/01/1967,23538,39118,28971,11447,11074
00433,28/01/1967,01333,06332,34308,20400,34836
00434,01/02/1967,33483,10073,23814,21465,08980
00435,04/02/1967,35841,25493,09086,35214,25890
00436,11/02/1967,30394,15302,16054,01754,29653
00437,15/02/1967,02403,36708,22816,00492,13162
00438,18/02/1967,12142,20099,08044,02112,37863
00439,22/02/1967,10233,00206,18029,33978,34981
00440,25/02/1967,38446,13137,36684,22968,18962
00441,01/03/1967,21115,38172,06055,11793,25132
00442,04/03/1967,13106,01279,01574,01393,09326
00443,08/03/1967,34736,25931,02732,24230,27451
00444,11/03/1967,13040,21665,05563,00014,25178
00445,15/03/1967,00318,18483,36142,39682,08602
00446,18/03/1967,00333,12820,00084,23221,39627
00447,22/03/1967,12301,39044,05223,17573,01047
00448,25/03/1967,34749,10008,08128,30786,00844
00449,29/03/1967,10109,04364,39455,18619,23428
00450,01/04/1967,29993,04253,02852,13234,00523
00451,05/04/1967,08553,32407,29696,27301,27835
00452,08/04/1967,20161,11943,31720,21512,18162
00453,12/04/1967,00073,26402,29465,00386,24773
00454,15/04/1967,05940,13108,25189,31499,12226
00455,19/04/1967,20509,02422,15246,31833,39744
00456,22/04/1967,14345,33841,37057,39436,24617
00457,26/04/1967,24406,23870,04129,31657,03243
00458,29/04/1967,03918,04557,05453,22748,39379
00459,03/05/1967,09480,17360,39866,35308,10366
00460,06/05/1967,22631,19903,21430,14291,27164
00461,10/05/1967,00320,35616,39448,22691,24637
00462,13/05/1967,16977,04902,17834,32838,07526
00463,17/05/1967,02785,27154,13485,04635,19778
00464,20/05/1967,38773,01090,17113,37793,07511
00465,24/05/1967,14741,02239,24364,03793,31508
00466,27/05/1967,26640,37267,12185,00613,08729
00467,31/05/1967,31757,18344,02297,35865,23728
00468,03/06/1967,04247,38577,15397,16312,06255
00469,07/06/1967,32156,19355,27466,13043,23072
00470,10/06/1967,25302,22124,08947,08451,01719
00471,14/06/1967,17369,22740,33948,30898,26713
00472,17/06/1967,06786,08791,39265,25002,07440
00473,21/06/1967,12188,21884,28662,30187,05395
00474,24/06/1967,37621,18351,15991,39224,08875
00475,28/06/1967,06239,15509,14411,30798,09399
00476,01/07/1967,15351,01345,15622,17588,09778
00477,05/07/1967,34705,02444,34669,05460,33596
00478,08/07/1967,08586,25205,33605,00639,10553
00479,12/07/1967,38814,15461,09447,08013,05652
00480,15/07/1967,11372,33334,17159,28694,39446
00481,19/07/1967,24999,08586,01477,35671,37750
00482,22/07/1967,22192,04509,17339,03029,08128
00483,26/07/1967,06689,07869,14837,30700,27762
00484,29/07/1967,10873,32945,26539,05673,39544
00485,02/08/1967,23926,37635,08550,01183,22737
00486,05/08/1967,09345,35621,03328,29826,04940
00487,09/08/1967,00084,13826,19209,11104,32419
00488,12/08/1967,34254,10131,29428,06911,28159
